Geography,Population Estimate (as of July 1) - 2015
"Autauga County, Alabama",55347
"Baldwin County, Alabama",203709
"Barbour County, Alabama",26489
"Bibb County, Alabama",22583
"Blount County, Alabama",57673
"Bullock County, Alabama",10696
"Butler County, Alabama",20154
"Calhoun County, Alabama",115620
"Chambers County, Alabama",34123
"Cherokee County, Alabama",25859
"Chilton County, Alabama",43943
"Choctaw County, Alabama",13170
"Clarke County, Alabama",24675
"Clay County, Alabama",13555
"Cleburne County, Alabama",15018
"Coffee County, Alabama",51211
"Colbert County, Alabama",54354
"Conecuh County, Alabama",12672
"Coosa County, Alabama",10724
"Covington County, Alabama",37835
"Crenshaw County, Alabama",13963
"Cullman County, Alabama",82005
"Dale County, Alabama",49565
"Dallas County, Alabama",41131
"DeKalb County, Alabama",71130
"Elmore County, Alabama",81468
"Escambia County, Alabama",37789
"Etowah County, Alabama",103057
"Fayette County, Alabama",16759
"Franklin County, Alabama",31696
"Geneva County, Alabama",26777
"Greene County, Alabama",8479
"Hale County, Alabama",15068
"Henry County, Alabama",17221
"Houston County, Alabama",104173
"Jackson County, Alabama",52419
"Jefferson County, Alabama",660367
"Lamar County, Alabama",13886
"Lauderdale County, Alabama",92596
"Lawrence County, Alabama",33115
"Lee County, Alabama",156993
"Limestone County, Alabama",91663
"Lowndes County, Alabama",10458
"Macon County, Alabama",19105
"Madison County, Alabama",353089
"Marengo County, Alabama",20028
"Marion County, Alabama",30168
"Marshall County, Alabama",94725
"Mobile County, Alabama",415395
"Monroe County, Alabama",21673
"Montgomery County, Alabama",226519
"Morgan County, Alabama",119565
"Perry County, Alabama",9652
"Pickens County, Alabama",20864
"Pike County, Alabama",33046
"Randolph County, Alabama",22696
"Russell County, Alabama",59660
"St. Clair County, Alabama",87074
"Shelby County, Alabama",208713
"Sumter County, Alabama",13103
"Talladega County, Alabama",80862
"Tallapoosa County, Alabama",40844
"Tuscaloosa County, Alabama",203976
"Walker County, Alabama",65294
"Washington County, Alabama",16804
"Wilcox County, Alabama",11059
"Winston County, Alabama",23877
"Aleutians East Borough, Alaska",3341
"Aleutians West Census Area, Alaska",5702
"Anchorage Municipality, Alaska",298695
"Bethel Census Area, Alaska",17946
"Bristol Bay Borough, Alaska",892
"Denali Borough, Alaska",1919
"Dillingham Census Area, Alaska",4997
"Fairbanks North Star Borough, Alaska",99631
"Haines Borough, Alaska",2534
"Hoonah-Angoon Census Area, Alaska",2133
"Juneau City and Borough, Alaska",32756
"Kenai Peninsula Borough, Alaska",58059
"Ketchikan Gateway Borough, Alaska",13709
"Kodiak Island Borough, Alaska",13889
"Kusilvak Census Area, Alaska",8119
"Lake and Peninsula Borough, Alaska",1563
"Matanuska-Susitna Borough, Alaska",101095
"Nome Census Area, Alaska",9846
"North Slope Borough, Alaska",9687
"Northwest Arctic Borough, Alaska",7752
"Petersburg Borough, Alaska",3177
"Prince of Wales-Hyder Census Area, Alaska",6341
"Sitka City and Borough, Alaska",8863
"Skagway Municipality, Alaska",1057
"Southeast Fairbanks Census Area, Alaska",6839
"Valdez-Cordova Census Area, Alaska",9362
"Wrangell City and Borough, Alaska",2382
"Yakutat City and Borough, Alaska",613
"Yukon-Koyukuk Census Area, Alaska",5533
"Apache County, Arizona",71474
"Cochise County, Arizona",126427
"Coconino County, Arizona",139097
"Gila County, Arizona",53159
"Graham County, Arizona",37666
"Greenlee County, Arizona",9529
"La Paz County, Arizona",20152
"Maricopa County, Arizona",4167947
"Mohave County, Arizona",204737
"Navajo County, Arizona",108277
"Pima County, Arizona",1010025
"Pinal County, Arizona",406584
"Santa Cruz County, Arizona",46461
"Yavapai County, Arizona",222255
"Yuma County, Arizona",204275
"Arkansas County, Arkansas",18433
"Ashley County, Arkansas",20838
"Baxter County, Arkansas",41053
"Benton County, Arkansas",249672
"Boone County, Arkansas",37222
"Bradley County, Arkansas",11094
"Calhoun County, Arkansas",5229
"Carroll County, Arkansas",27704
"Chicot County, Arkansas",11027
"Clark County, Arkansas",22633
"Clay County, Arkansas",15109
"Cleburne County, Arkansas",25467
"Cleveland County, Arkansas",8311
"Columbia County, Arkansas",24114
"Conway County, Arkansas",21019
"Craighead County, Arkansas",104354
"Crawford County, Arkansas",61703
"Crittenden County, Arkansas",48963
"Cross County, Arkansas",17284
"Dallas County, Arkansas",7604
"Desha County, Arkansas",11965
"Drew County, Arkansas",18778
"Faulkner County, Arkansas",121552
"Franklin County, Arkansas",17702
"Fulton County, Arkansas",12204
"Garland County, Arkansas",97177
"Grant County, Arkansas",18102
"Greene County, Arkansas",44196
"Hempstead County, Arkansas",22084
"Hot Spring County, Arkansas",33426
"Howard County, Arkansas",13300
"Independence County, Arkansas",37052
"Izard County, Arkansas",13445
"Jackson County, Arkansas",17338
"Jefferson County, Arkansas",71565
"Johnson County, Arkansas",26141
"Lafayette County, Arkansas",6996
"Lawrence County, Arkansas",16779
"Lee County, Arkansas",9650
"Lincoln County, Arkansas",13820
"Little River County, Arkansas",12472
"Logan County, Arkansas",21714
"Lonoke County, Arkansas",71645
"Madison County, Arkansas",15767
"Marion County, Arkansas",16185
"Miller County, Arkansas",43908
"Mississippi County, Arkansas",43738
"Monroe County, Arkansas",7399
"Montgomery County, Arkansas",8970
"Nevada County, Arkansas",8558
"Newton County, Arkansas",7913
"Ouachita County, Arkansas",24358
"Perry County, Arkansas",10189
"Phillips County, Arkansas",19513
"Pike County, Arkansas",10824
"Poinsett County, Arkansas",24040
"Polk County, Arkansas",20216
"Pope County, Arkansas",63390
"Prairie County, Arkansas",8291
"Pulaski County, Arkansas",392664
"Randolph County, Arkansas",17469
"St. Francis County, Arkansas",26589
"Saline County, Arkansas",117460
"Scott County, Arkansas",10513
"Searcy County, Arkansas",7869
"Sebastian County, Arkansas",127780
"Sevier County, Arkansas",17290
"Sharp County, Arkansas",16912
"Stone County, Arkansas",12456
"Union County, Arkansas",40144
"Van Buren County, Arkansas",16771
"Washington County, Arkansas",225477
"White County, Arkansas",79161
"Woodruff County, Arkansas",6741
"Yell County, Arkansas",21713
"Alameda County, California",1638215
"Alpine County, California",1110
"Amador County, California",37001
"Butte County, California",225411
"Calaveras County, California",44828
"Colusa County, California",21482
"Contra Costa County, California",1126745
"Del Norte County, California",27254
"El Dorado County, California",184452
"Fresno County, California",974861
"Glenn County, California",28017
"Humboldt County, California",135727
"Imperial County, California",180191
"Inyo County, California",18260
"Kern County, California",882176
"Kings County, California",150965
"Lake County, California",64591
"Lassen County, California",31345
"Los Angeles County, California",10170292
"Madera County, California",154998
"Marin County, California",261221
"Mariposa County, California",17531
"Mendocino County, California",87649
"Merced County, California",268455
"Modoc County, California",8965
"Mono County, California",13909
"Monterey County, California",433898
"Napa County, California",142456
"Nevada County, California",98877
"Orange County, California",3169776
"Placer County, California",375391
"Plumas County, California",18409
"Riverside County, California",2361026
"Sacramento County, California",1501335
"San Benito County, California",58792
"San Bernardino County, California",2128133
