State,Average_of_2011to2015
Alabama,22.42
Alaska,21
Arizona,16.64
Arkansas,25.5
California,12.66
Colorado,17
Connecticut,15.5
Delaware,19.68
District of Columbia,18.32
Florida,17.44
Georgia,19.1
Guam,27.88
Hawaii,14.58
Idaho,16.1
Illinois,17.82
Indiana,23
Iowa,18.92
Kansas,19.44
Kentucky,27.18
Louisiana,23.98
Maine,20.42
Maryland,16.28
Massachusetts,15.98
Michigan,21.98
Minnesota,17.68
Mississippi,24.06
Missouri,22.78
Montana,19.92
Nebraska,18.52
Nevada,18.98
New Hampshire,17.24
New Jersey,15.68
New Mexico,19.3
New York,16.1
North Carolina,20.22
North Dakota,20.58
Ohio,22.88
Oklahoma,23.28
Oregon,17.8
Pennsylvania,20.56
Puerto Rico,12.04
Rhode Island,17.32
South Carolina,21.76
South Dakota,20.66
Tennessee,23.66
Texas,16.6
Utah,10.3
Vermont,16.92
Virginia,18.98
Washington,16.22
West Virginia,27.3
Wisconsin,18.94
Wyoming,20.8
