County,Stroke_IR
"Abbeville County,  South Carolina",87.3
"Acadia Parish County,  Louisiana",88.9
"Accomack County,  Virginia",75.2
"Ada County,  Idaho",66.8
"Adair County,  Iowa",62
"Adair County,  Kentucky",84.2
"Adair County,  Missouri",80.1
"Adair County,  Oklahoma",76.8
"Adams County,  Colorado",67.3
"Adams County,  Iowa",74.7
"Adams County,  Idaho",69.1
"Adams County,  Illinois",58.9
"Adams County,  Indiana",69.6
"Adams County,  Mississippi",88.7
"Adams County,  North Dakota",62
"Adams County,  Nebraska",66.4
"Adams County,  Ohio",82.7
"Adams County,  Pennsylvania",75.2
"Adams County,  Washington",77.4
"Adams County,  Wisconsin",64.3
"Addison County,  Vermont",66.1
"District of Columbia County,  District Of Columbia",71.2
"Adjuntas Municipio County,  Puerto Rico",59.7
"Aiken County,  South Carolina",79.5
"Aitkin County,  Minnesota",67.6
"Alachua County,  Florida",75
"Alamance County,  North Carolina",81.5
"Alameda County,  California",71.1
"Alamosa County,  Colorado",62.1
"Albany County,  New York",55.1
"Albany County,  Wyoming",66.4
"Albemarle County,  Virginia",67.5
"Alcona County,  Michigan",72.8
"Alcorn County,  Mississippi",85
"Aleutians East County,  Alaska",3
"Aleutians West County,  Alaska",6.1
"Alexander County,  Illinois",77.4
"Alexander County,  North Carolina",79.4
"Alexandria City County,  Virginia",52.8
"Alfalfa County,  Oklahoma",68.3
"Alger County,  Michigan",62.4
"Allamakee County,  Iowa",69.1
"Allegan County,  Michigan",65.9
"Allegany County,  Maryland",76.6
"Allegany County,  New York",64.1
"Alleghany County,  North Carolina",70.7
"Alleghany County,  Virginia",77.4
"Allegheny County,  Pennsylvania",68.8
"Allen County,  Indiana",71.9
"Allen County,  Kansas",65.2
"Allen County,  Kentucky",105.2
"Allen County,  Ohio",74
"Allen Parish County,  Louisiana",101.9
"Allendale County,  South Carolina",105.2
"Alpena County,  Michigan",72.2
"Alpine County,  California",60.6
"Amador County,  California",74.8
"Amelia County,  Virginia",79.7
"Aguada Municipio County,  Puerto Rico",44.7
"Amherst County,  Virginia",92.4
"Amite County,  Mississippi",89.7
"Aguadilla Municipio County,  Puerto Rico",58.3
"Anchorage County,  Alaska",63.8
"Anderson County,  Kansas",68.3
"Anderson County,  Kentucky",80.7
"Anderson County,  South Carolina",86.1
"Anderson County,  Tennessee",74.4
"Anderson County,  Texas",91.1
"Andrew County,  Missouri",90.9
"Andrews County,  Texas",80.6
"Androscoggin County,  Maine",69.6
"Angelina County,  Texas",194.9
"Anne Arundel County,  Maryland",79.9
"Anoka County,  Minnesota",57.5
"Anson County,  North Carolina",97.4
"Antelope County,  Nebraska",73.4
"Antrim County,  Michigan",76.7
"Apache County,  Arizona",61.8
"Appanoose County,  Iowa",88.2
"Appling County,  Georgia",110.3
"Appomattox County,  Virginia",92.2
"Aransas County,  Texas",76.1
"Arapahoe County,  Colorado",63.2
"Archer County,  Texas",106.8
"Archuleta County,  Colorado",71.1
"Aguas Buenas Municipio County,  Puerto Rico",48.7
"Arenac County,  Michigan",59.4
"Arkansas County,  Arkansas",97.3
"Arlington County,  Virginia",58.6
"Armstrong County,  Pennsylvania",69.6
"Armstrong County,  Texas",84.6
"Aroostook County,  Maine",66.6
"Aibonito Municipio County,  Puerto Rico",57.8
"Arthur County,  Nebraska",78.6
"Ascension Parish County,  Louisiana",91.5
"Ashe County,  North Carolina",61.1
"Ashland County,  Ohio",73.8
"Ashland County,  Wisconsin",73.2
"Ashley County,  Arkansas",111.8
"Ashtabula County,  Ohio",68.5
"Asotin County,  Washington",80.2
"Assumption Parish County,  Louisiana",91.6
"Atascosa County,  Texas",87.1
"Atchison County,  Kansas",86.2
"Atchison County,  Missouri",63.6
"Athens County,  Ohio",82.8
"Atkinson County,  Georgia",97.6
"Atlantic County,  New Jersey",61.8
"Atoka County,  Oklahoma",76.1
"Attala County,  Mississippi",108.3
"Audrain County,  Missouri",75.9
"Audubon County,  Iowa",78.3
"Auglaize County,  Ohio",84.6
"Augusta County,  Virginia",68.8
"Aurora County,  South Dakota",64
"Austin County,  Texas",65.8
"Autauga County,  Alabama",108.3
"Avery County,  North Carolina",75.2
