County,Stroke_IR
"Abbeville County, South Carolina",87.30
"Acadia Parish County, Louisiana",88.90
"Accomack County, Virginia",75.20
"Ada County, Idaho",66.80
"Adair County, Iowa",62.00
"Adair County, Kentucky",84.20
"Adair County, Missouri",80.10
"Adair County, Oklahoma",76.80
"Adams County, Colorado",67.30
"Adams County, Iowa",74.70
"Adams County, Idaho",69.10
"Adams County, Illinois",58.90
"Adams County, Indiana",69.60
"Adams County, Mississippi",88.70
"Adams County, North Dakota",62.00
"Adams County, Nebraska",66.40
"Adams County, Ohio",82.70
"Adams County, Pennsylvania",75.20
"Adams County, Washington",77.40
"Adams County, Wisconsin",64.30
"Addison County, Vermont",66.10
"District of Columbia County, District Of Columbia",71.20
"Adjuntas Municipio County, Puerto Rico",59.70
"Aiken County, South Carolina",79.50
"Aitkin County, Minnesota",67.60
"Alachua County, Florida",75.00
"Alamance County, North Carolina",81.50
"Alameda County, California",71.10
"Alamosa County, Colorado",62.10
"Albany County, New York",55.10
"Albany County, Wyoming",66.40
"Albemarle County, Virginia",67.50
"Alcona County, Michigan",72.80
"Alcorn County, Mississippi",85.00
"Aleutians East County, Alaska",3.00
"Aleutians West County, Alaska",6.10
"Alexander County, Illinois",77.40
"Alexander County, North Carolina",79.40
"Alexandria City County, Virginia",52.80
"Alfalfa County, Oklahoma",68.30
"Alger County, Michigan",62.40
"Allamakee County, Iowa",69.10
"Allegan County, Michigan",65.90
"Allegany County, Maryland",76.60
"Allegany County, New York",64.10
"Alleghany County, North Carolina",70.70
"Alleghany County, Virginia",77.40
"Allegheny County, Pennsylvania",68.80
"Allen County, Indiana",71.90
"Allen County, Kansas",65.20
"Allen County, Kentucky",105.20
"Allen County, Ohio",74.00
"Allen Parish County, Louisiana",101.90
"Allendale County, South Carolina",105.20
"Alpena County, Michigan",72.20
"Alpine County, California",60.60
"Amador County, California",74.80
"Amelia County, Virginia",79.70
"Aguada Municipio County, Puerto Rico",44.70
"Amherst County, Virginia",92.40
"Amite County, Mississippi",89.70
"Aguadilla Municipio County, Puerto Rico",58.30
"Anchorage County, Alaska",63.80
"Anderson County, Kansas",68.30
"Anderson County, Kentucky",80.70
"Anderson County, South Carolina",86.10
"Anderson County, Tennessee",74.40
"Anderson County, Texas",91.10
"Andrew County, Missouri",90.90
"Andrews County, Texas",80.60
"Androscoggin County, Maine",69.60
"Angelina County, Texas",194.90
"Anne Arundel County, Maryland",79.90
"Anoka County, Minnesota",57.50
"Anson County, North Carolina",97.40
"Antelope County, Nebraska",73.40
"Antrim County, Michigan",76.70
"Apache County, Arizona",61.80
"Appanoose County, Iowa",88.20
"Appling County, Georgia",110.30
"Appomattox County, Virginia",92.20
"Aransas County, Texas",76.10
"Arapahoe County, Colorado",63.20
"Archer County, Texas",106.80
"Archuleta County, Colorado",71.10
"Aguas Buenas Municipio County, Puerto Rico",48.70
"Arenac County, Michigan",59.40
"Arkansas County, Arkansas",97.30
"Arlington County, Virginia",58.60
"Armstrong County, Pennsylvania",69.60
"Armstrong County, Texas",84.60
"Aroostook County, Maine",66.60
"Aibonito Municipio County, Puerto Rico",57.80
"Arthur County, Nebraska",78.60
"Ascension Parish County, Louisiana",91.50
"Ashe County, North Carolina",61.10
"Ashland County, Ohio",73.80
"Ashland County, Wisconsin",73.20
"Ashley County, Arkansas",111.80
"Ashtabula County, Ohio",68.50
"Asotin County, Washington",80.20
"Assumption Parish County, Louisiana",91.60
"Atascosa County, Texas",87.10
"Atchison County, Kansas",86.20
"Atchison County, Missouri",63.60
"Athens County, Ohio",82.80
"Atkinson County, Georgia",97.60
"Atlantic County, New Jersey",61.80
"Atoka County, Oklahoma",76.10
"Attala County, Mississippi",108.30
"Audrain County, Missouri",75.90
"Audubon County, Iowa",78.30
"Auglaize County, Ohio",84.60
"Augusta County, Virginia",68.80
"Aurora County, South Dakota",64.00
"Austin County, Texas",65.80
"Autauga County, Alabama",108.30
"Avery County, North Carolina",75.20
"Avoyelles Parish County, Louisiana",121.90
"Baca County, Colorado",62.70
"Bacon County, Georgia",101.50
"Bailey County, Texas",73.00
"Baker County, Florida",79.80
"Baker County, Georgia",98.80
"Baker County, Oregon",69.00
"Baldwin County, Alabama",80.90
"Baldwin County, Georgia",83.30
"Ballard County, Kentucky",78.90
"Baltimore City County, Maryland",106.30
"Baltimore County, Maryland",83.20
"Bamberg County, South Carolina",111.80
"Bandera County, Texas",77.60
"Banks County, Georgia",103.80
"Banner County, Nebraska",58.70
"Bannock County, Idaho",87.90
"Baraga County, Michigan",101.10
"Barber County, Kansas",72.50
"Barbour County, Alabama",94.90
"Barbour County, West Virginia",82.80
"Anasco Municipio County, Puerto Rico",46.60
"Barnes County, North Dakota",62.30
"Barnstable County, Massachusetts",56.60
"Barnwell County, South Carolina",82.80
"Arecibo Municipio County, Puerto Rico",53.90
"Barren County, Kentucky",99.20
"Barron County, Wisconsin",71.50
"Barrow County, Georgia",78.40
"Barry County, Michigan",64.60
"Barry County, Missouri",77.30
"Bartholomew County, Indiana",78.90
"Barton County, Kansas",81.00
"Barton County, Missouri",98.10
"Bartow County, Georgia",92.70
"Bastrop County, Texas",69.60
"Bates County, Missouri",80.60
"Bath County, Kentucky",121.40
"Bath County, Virginia",69.10
"Baxter County, Arkansas",77.90
"Bay County, Florida",64.40
"Bay County, Michigan",59.90
"Arroyo Municipio County, Puerto Rico",62.40
"Bayfield County, Wisconsin",76.00
"Baylor County, Texas",108.20
"Beadle County, South Dakota",82.80
"Bear Lake County, Idaho",65.50
"Beaufort County, North Carolina",87.70
"Beaufort County, South Carolina",53.70
"Beauregard Parish County, Louisiana",118.40
"Beaver County, Oklahoma",68.80
"Beaver County, Pennsylvania",73.40
"Beaver County, Utah",78.30
"Beaverhead County, Montana",51.00
"Becker County, Minnesota",69.70
"Beckham County, Oklahoma",76.30
"Bedford City County, Virginia",
"Bedford County, Pennsylvania",74.40
"Bedford County, Tennessee",89.60
"Bedford County, Virginia",77.20
"Bee County, Texas",87.50
"Belknap County, New Hampshire",56.40
"Bell County, Kentucky",97.80
"Bell County, Texas",75.00
"Belmont County, Ohio",73.30
"Beltrami County, Minnesota",59.20
"Ben Hill County, Georgia",107.80
"Benewah County, Idaho",81.30
"Bennett County, South Dakota",64.70
"Bennington County, Vermont",65.00
"Benson County, North Dakota",92.00
"Bent County, Colorado",72.20
"Benton County, Arkansas",79.20
"Benton County, Iowa",52.10
"Benton County, Indiana",72.60
"Benton County, Minnesota",67.90
"Benton County, Missouri",82.30
"Benton County, Mississippi",93.30
"Benton County, Oregon",70.50
"Benton County, Tennessee",96.90
"Benton County, Washington",64.30
"Benzie County, Michigan",71.20
"Bergen County, New Jersey",53.10
"Berkeley County, South Carolina",86.50
"Berkeley County, West Virginia",77.70
"Berks County, Pennsylvania",99.20
"Berkshire County, Massachusetts",61.10
"Bernalillo County, New Mexico",69.80
"Berrien County, Georgia",89.60
"Berrien County, Michigan",99.20
"Bertie County, North Carolina",88.50
"Bethel County, Alaska",105.80
"Bexar County, Texas",87.40
"Bibb County, Alabama",112.10
"Bibb County, Georgia",101.30
"Bienville Parish County, Louisiana",90.40
"Big Horn County, Montana",76.40
"Big Horn County, Wyoming",57.90
"Big Stone County, Minnesota",71.40
"Billings County, North Dakota",55.60
"Bingham County, Idaho",72.60
"Black Hawk County, Iowa",55.60
"Blackford County, Indiana",75.80
"Bladen County, North Carolina",84.00
"Blaine County, Idaho",58.60
"Blaine County, Montana",75.10
"Blaine County, Nebraska",72.80
"Blaine County, Oklahoma",82.70
"Blair County, Pennsylvania",71.20
"Blanco County, Texas",69.30
"Bland County, Virginia",78.80
"Bleckley County, Georgia",93.70
"Bledsoe County, Tennessee",85.10
"Blount County, Alabama",101.00
"Blount County, Tennessee",73.80
"Blue Earth County, Minnesota",61.60
"Boise County, Idaho",65.60
"Bolivar County, Mississippi",113.70
"Bollinger County, Missouri",77.30
"Bon Homme County, South Dakota",73.10
