Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
1999,Tennessee,Leukemias,7.5,6.8,8.2,421,5638706
1999,District of Columbia,Leukemias,8.5,6.2,11.3,47,570213
1999,Virginia,Leukemias,7.9,7.2,8.6,523,7000174
1999,Alabama,Leukemias,9.3,8.4,10.3,418,4430141
1999,Georgia,Leukemias,9.4,8.7,10.2,649,8045965
1999,Arizona,Leukemias,10.6,9.7,11.5,530,5023823
1999,Maryland,Leukemias,10.2,9.3,11.2,505,5254509
1999,North Carolina,Leukemias,10.6,9.9,11.3,817,7949361
1999,South Carolina,Leukemias,10.7,9.7,11.8,409,3974682
1999,Delaware,Leukemias,10.8,8.6,13.4,85,774990
1999,Hawaii,Leukemias,10.8,9,12.8,131,1210300
1999,California,Leukemias,12.3,11.9,12.7,3704,33499204
1999,Connecticut,Leukemias,12.1,11,13.3,435,3386401
1999,Indiana,Leukemias,11.8,10.9,12.7,705,6044969
1999,Kansas,Leukemias,11.7,10.5,13.1,322,2678338
1999,Massachusetts,Leukemias,12.4,11.5,13.2,813,6317345
1999,Missouri,Leukemias,12.4,11.5,13.4,719,5561948
1999,Nevada,Leukemias,12,10.4,13.7,214,1934718
1999,North Dakota,Leukemias,12.2,9.7,15.1,86,644259
1999,Ohio,Leukemias,11.7,11.1,12.4,1363,11335454
1999,Rhode Island,Leukemias,12.4,10.4,14.7,138,1040402
1999,Utah,Leukemias,11.9,10.3,13.7,207,2203482
1999,Colorado,Leukemias,13.9,12.7,15.2,496,4226018
1999,Idaho,Leukemias,13.8,11.8,16.1,164,1275674
1999,Illinois,Leukemias,13.8,13.2,14.5,1660,12359020
1999,Kentucky,Leukemias,13.9,12.8,15.1,556,4018053
1999,Louisiana,Leukemias,12.7,11.7,13.9,532,4460811
1999,Maine,Leukemias,13.7,11.8,15.8,187,1266808
1999,Michigan,Leukemias,13,12.3,13.8,1261,9897116
1999,New Jersey,Leukemias,13.1,12.4,13.9,1129,8359592
1999,New Mexico,Leukemias,12.8,11.2,14.7,218,1808082
1999,Oklahoma,Leukemias,12.7,11.5,13.9,444,3437147
1999,Oregon,Leukemias,13.2,12,14.4,454,3393941
1999,Pennsylvania,Leukemias,13.2,12.6,13.8,1845,12263805
1999,Wyoming,Leukemias,13.4,10.2,17.1,62,491780
1999,Alaska,Leukemias,15.4,11.2,20.6,59,624779
1999,Arkansas,Leukemias,null,null,null,Data Suppressed,null
1999,Florida,Leukemias,14.3,13.7,14.8,2755,15759421
1999,Iowa,Leukemias,15,13.7,16.4,489,2917634
1999,Minnesota,Leukemias,14.3,13.2,15.4,679,4873481
1999,Mississippi,Leukemias,null,null,null,Data Suppressed,null
1999,Montana,Leukemias,14,11.7,16.7,132,897507
1999,Nebraska,Leukemias,14.7,13,16.6,262,1704764
1999,New Hampshire,Leukemias,15.6,13.5,18.1,187,1222014
1999,New York,Leukemias,14,13.5,14.6,2676,18882725
1999,South Dakota,Leukemias,null,null,null,Data Suppressed,null
1999,Texas,Leukemias,14.2,13.7,14.8,2504,20558220
1999,Vermont,Leukemias,14.3,11.5,17.7,87,604683
1999,Washington,Leukemias,15.2,14.2,16.3,827,5842564
1999,West Virginia,Leukemias,15,13.4,16.8,306,1811799
1999,Wisconsin,Leukemias,15.2,14.2,16.2,825,5332666
2000,District of Columbia,Leukemias,8.1,5.9,10.9,45,572046
2000,Tennessee,Leukemias,9.1,8.3,9.9,517,5703719
2000,Alabama,Leukemias,9.8,8.9,10.7,443,4452173
2000,Hawaii,Leukemias,10.5,8.8,12.5,130,1213519
2000,Virginia,Leukemias,9.7,9,10.5,657,7105817
2000,Wyoming,Leukemias,10.6,7.9,14,50,494300
2000,Arizona,Leukemias,11.1,10.2,12,574,5160586
2000,Georgia,Leukemias,11.4,10.6,12.2,801,8227303
2000,New Hampshire,Leukemias,11.6,9.7,13.7,140,1239882
2000,North Carolina,Leukemias,11.3,10.5,12,885,8081614
2000,Kansas,Leukemias,12.4,11.2,13.8,342,2693681
2000,Maryland,Leukemias,12.1,11.1,13.1,607,5311034
2000,Massachusetts,Leukemias,12.2,11.3,13,808,6361104
2000,Missouri,Leukemias,12.3,11.4,13.2,717,5607285
2000,New Mexico,Leukemias,11.7,10.2,13.5,203,1821204
2000,Ohio,Leukemias,12.1,11.5,12.7,1416,11363543
2000,Oregon,Leukemias,12.4,11.3,13.7,434,3429708
2000,South Carolina,Leukemias,11.8,10.8,13,465,4024223
2000,California,Leukemias,12.9,12.5,13.3,3929,33987977
2000,Colorado,Leukemias,13.4,12.3,14.7,500,4326921
2000,Connecticut,Leukemias,13.9,12.7,15.2,505,3411777
2000,Delaware,Leukemias,12.8,10.4,15.5,101,786373
2000,Idaho,Leukemias,13.6,11.6,15.9,164,1299430
2000,Kentucky,Leukemias,13.5,12.4,14.7,544,4049021
2000,Louisiana,Leukemias,13.3,12.2,14.5,561,4471885
2000,Minnesota,Leukemias,13.8,12.7,14.8,662,4933692
2000,New Jersey,Leukemias,13.3,12.5,14.1,1156,8430621
2000,Oklahoma,Leukemias,12.9,11.7,14.1,457,3454365
2000,Pennsylvania,Leukemias,13.6,13,14.3,1910,12284173
2000,Rhode Island,Leukemias,13.4,11.4,15.7,154,1050268
2000,Utah,Leukemias,13,11.3,14.8,227,2244502
2000,Wisconsin,Leukemias,13.9,12.9,14.9,764,5373999
2000,Alaska,Leukemias,16.5,12.4,21.5,68,627963
2000,Arkansas,Leukemias,null,null,null,Data Suppressed,null
2000,Florida,Leukemias,16.1,15.5,16.6,3165,16047515
2000,Illinois,Leukemias,14.1,13.4,14.8,1702,12434161
2000,Indiana,Leukemias,14.1,13.2,15.1,850,6091866
2000,Iowa,Leukemias,15.6,14.2,17,512,2929067
2000,Maine,Leukemias,15.4,13.4,17.6,219,1277072
2000,Michigan,Leukemias,15.1,14.3,15.9,1479,9952450
2000,Mississippi,Leukemias,null,null,null,Data Suppressed,null
2000,Montana,Leukemias,16.3,13.8,19.1,154,903773
2000,Nebraska,Leukemias,14.3,12.6,16.2,256,1713820
2000,Nevada,Leukemias,15.3,13.5,17.3,281,2018741
2000,New York,Leukemias,14.5,13.9,15,2795,19001780
2000,North Dakota,Leukemias,15.3,12.5,18.5,108,642023
2000,South Dakota,Leukemias,null,null,null,Data Suppressed,null
2000,Texas,Leukemias,15,14.5,15.6,2682,20944499
2000,Vermont,Leukemias,14.1,11.3,17.4,87,609618
2000,Washington,Leukemias,14.8,13.8,15.8,819,5910512
2000,West Virginia,Leukemias,14.2,12.6,15.9,291,1807021
2001,District of Columbia,Leukemias,9.6,7.2,12.5,54,574504
2001,Maryland,Leukemias,9.4,8.6,10.3,479,5374691
2001,Tennessee,Leukemias,8.9,8.1,9.7,512,5750789
2001,Virginia,Leukemias,8.7,8.1,9.5,596,7198362
2001,Alabama,Leukemias,11.2,10.2,12.2,509,4467634
2001,Arizona,Leukemias,11.4,10.5,12.3,603,5273477
2001,Delaware,Leukemias,11.4,9.1,14,91,795699
2001,Massachusetts,Leukemias,11.5,10.7,12.4,770,6397634
2001,Alaska,Leukemias,12,8.6,16.1,52,633714
2001,Arkansas,Leukemias,12.3,11.1,13.7,355,2691571
2001,Georgia,Leukemias,12.6,11.8,13.5,901,8377038
2001,Hawaii,Leukemias,11.8,9.9,13.8,148,1225948
2001,Kansas,Leukemias,12.3,11,13.7,341,2702162
2001,North Carolina,Leukemias,12.2,11.4,12.9,972,8210122
2001,Ohio,Leukemias,12.1,11.5,12.7,1424,11387404
2001,Oklahoma,Leukemias,12.3,11.2,13.5,439,3467100
2001,California,Leukemias,12.8,12.4,13.2,3993,34479458
2001,Colorado,Leukemias,13.9,12.8,15.2,527,4425687
2001,Idaho,Leukemias,13.6,11.6,15.8,169,1319962
2001,Indiana,Leukemias,13.8,12.9,14.8,839,6127760
2001,Louisiana,Leukemias,13.8,12.7,15,584,4477875
2001,Michigan,Leukemias,13.8,13,14.5,1362,9991120
2001,Missouri,Leukemias,12.7,11.8,13.6,745,5641142
2001,Nebraska,Leukemias,13.5,11.9,15.3,246,1719836
2001,Nevada,Leukemias,13.8,12.2,15.6,268,2098399
2001,Oregon,Leukemias,13.7,12.5,15,485,3467937
2001,Pennsylvania,Leukemias,13.6,13,14.2,1916,12298970
2001,South Carolina,Leukemias,13,11.9,14.1,514,4064995
2001,Vermont,Leukemias,13.1,10.4,16.3,83,612223
2001,West Virginia,Leukemias,13.7,12.1,15.4,282,1801481
2001,Connecticut,Leukemias,14.1,12.9,15.4,518,3432835
2001,Florida,Leukemias,15.3,14.8,15.9,3046,16356966
2001,Illinois,Leukemias,14.6,14,15.3,1781,12488445
2001,Iowa,Leukemias,17,15.6,18.4,561,2931997
2001,Kentucky,Leukemias,14,12.9,15.2,568,4068132
2001,Maine,Leukemias,15.7,13.7,17.9,223,1285692
2001,Minnesota,Leukemias,15.6,14.5,16.8,758,4982796
2001,Mississippi,Leukemias,null,null,null,Data Suppressed,null
2001,Montana,Leukemias,15.2,12.8,17.9,147,906961
2001,New Hampshire,Leukemias,14.6,12.6,16.9,182,1255517
2001,New Jersey,Leukemias,14.6,13.8,15.4,1283,8492671
2001,New Mexico,Leukemias,14.1,12.4,16,251,1831690
2001,New York,Leukemias,14.1,13.6,14.6,2749,19082838
2001,North Dakota,Leukemias,15,12.2,18.2,105,639062
2001,Rhode Island,Leukemias,15.2,13,17.7,173,1057142
2001,South Dakota,Leukemias,14,11.5,16.8,115,757972
2001,Texas,Leukemias,15.6,15.1,16.2,2844,21319622
2001,Utah,Leukemias,14.3,12.6,16.3,245,2283715
2001,Washington,Leukemias,15.3,14.3,16.4,866,5985722
2001,Wisconsin,Leukemias,16,15,17.1,891,5406835
2001,Wyoming,Leukemias,14.7,11.5,18.6,72,494657
2002,District of Columbia,Leukemias,7.7,5.6,10.4,43,573158
2002,Tennessee,Leukemias,8.5,7.7,9.2,493,5795918
2002,Virginia,Leukemias,9.7,9,10.5,675,7286873
2002,Hawaii,Leukemias,10.3,8.7,12.2,135,1239613
2002,Maryland,Leukemias,9.8,8.9,10.7,508,5440389
2002,Alabama,Leukemias,11.2,10.3,12.2,518,4480089
2002,Arizona,Leukemias,10.9,10,11.8,591,5396255
2002,Arkansas,Leukemias,11.1,9.9,12.4,322,2705927
2002,Delaware,Leukemias,11.2,9,13.7,93,806169
2002,Nevada,Leukemias,11.6,10.1,13.3,231,2173791
2002,North Carolina,Leukemias,11.5,10.8,12.3,944,8326201
2002,Alaska,Leukemias,12.3,9.1,16.3,59,642337
2002,California,Leukemias,12.5,12.1,12.9,3953,34871843
2002,Georgia,Leukemias,12,11.2,12.8,877,8508256
2002,Kentucky,Leukemias,12.5,11.4,13.6,511,4089875
2002,Massachusetts,Leukemias,12.1,11.2,12.9,813,6417206
2002,North Dakota,Leukemias,12,9.6,14.8,87,638168
2002,Ohio,Leukemias,12.5,11.9,13.2,1495,11407889
2002,Oregon,Leukemias,11.9,10.8,13.1,431,3513424
2002,West Virginia,Leukemias,11.7,10.3,13.3,243,1805414
2002,Colorado,Leukemias,13.3,12.2,14.5,514,4490406
2002,Connecticut,Leukemias,13.6,12.4,14.8,503,3458749
2002,Louisiana,Leukemias,13.2,12.2,14.4,566,4497267
2002,Michigan,Leukemias,13.5,12.8,14.2,1346,10015710
2002,Missouri,Leukemias,12.9,12,13.8,767,5674825
2002,New Jersey,Leukemias,13.9,13.1,14.7,1232,8552643
2002,New York,Leukemias,13.4,12.9,13.9,2634,19137800
2002,Oklahoma,Leukemias,13.5,12.3,14.7,483,3489080
2002,Pennsylvania,Leukemias,13.5,12.9,14.1,1905,12331031
2002,Rhode Island,Leukemias,13.4,11.4,15.7,155,1065995
2002,South Carolina,Leukemias,13.8,12.7,15,559,4107795
2002,Utah,Leukemias,13.7,12,15.6,247,2324815
2002,Wyoming,Leukemias,13,10,16.7,64,500017
2002,Florida,Leukemias,14.4,13.8,14.9,2910,16689370
2002,Idaho,Leukemias,15.4,13.3,17.7,195,1340372
2002,Illinois,Leukemias,14.7,14,15.4,1796,12525556
2002,Indiana,Leukemias,14.8,13.9,15.8,911,6155967
2002,Iowa,Leukemias,16.3,14.9,17.7,539,2934234
2002,Kansas,Leukemias,14.2,12.9,15.7,400,2713535
2002,Maine,Leukemias,14.8,12.9,16.9,214,1295960
2002,Minnesota,Leukemias,14.5,13.5,15.6,716,5018935
2002,Mississippi,Leukemias,null,null,null,Data Suppressed,null
2002,Montana,Leukemias,14.5,12.2,17.1,141,911667
2002,Nebraska,Leukemias,14.8,13,16.6,268,1728292
2002,New Hampshire,Leukemias,14.8,12.7,17.1,186,1269089
2002,New Mexico,Leukemias,14.6,12.9,16.5,265,1855309
2002,South Dakota,Leukemias,15.2,12.7,18.2,125,760020
2002,Texas,Leukemias,14.5,14,15.1,2705,21690325
2002,Vermont,Leukemias,14.4,11.6,17.6,92,615442
2002,Washington,Leukemias,14.5,13.5,15.5,837,6052349
2002,Wisconsin,Leukemias,15.2,14.2,16.3,853,5445162
2003,Delaware,Leukemias,8.4,6.5,10.6,70,818003
2003,Alaska,Leukemias,9.6,6.9,13,48,648414
2003,Alabama,Leukemias,10.4,9.5,11.4,487,4503491
2003,Oregon,Leukemias,10.7,9.7,11.9,395,3547376
2003,Tennessee,Leukemias,10.2,9.4,11.1,607,5847812
2003,Arizona,Leukemias,11.1,10.3,12,619,5510364
2003,District of Columbia,Leukemias,10.8,8.2,13.9,60,568502
2003,Hawaii,Leukemias,11.5,9.7,13.5,151,1251154
2003,Maryland,Leukemias,11.2,10.3,12.1,586,5496269
2003,North Carolina,Leukemias,11.4,10.7,12.1,950,8422501
2003,Virginia,Leukemias,11.2,10.5,12,785,7366977
2003,California,Leukemias,12.5,12.1,12.9,4042,35253159
2003,Massachusetts,Leukemias,12.6,11.7,13.4,855,6422565
2003,Mississippi,Leukemias,11.8,10.5,13.1,332,2868312
2003,Ohio,Leukemias,12.3,11.7,12.9,1477,11434788
2003,Arkansas,Leukemias,13.5,12.2,14.9,394,2724816
2003,Colorado,Leukemias,13.8,12.6,15,542,4528732
2003,Georgia,Leukemias,13.6,12.7,14.4,1007,8622793
2003,Indiana,Leukemias,13.3,12.4,14.2,826,6196638
2003,Louisiana,Leukemias,12.8,11.8,13.9,554,4521042
2003,Maine,Leukemias,13.4,11.6,15.5,197,1306513
2003,Michigan,Leukemias,13.8,13.1,14.6,1398,10041152
