Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
1999,Utah,Lung and Bronchus,33.9,31.1,37,521,2203482
1999,Colorado,Lung and Bronchus,51.6,49.3,54.1,1765,4226018
1999,New Mexico,Lung and Bronchus,48.5,45.2,51.9,810,1808082
1999,North Dakota,Lung and Bronchus,53.5,48.2,59.3,374,644259
1999,Arizona,Lung and Bronchus,59.7,57.6,61.8,3049,5023823
1999,Hawaii,Lung and Bronchus,55.3,51.3,59.6,687,1210300
1999,Idaho,Lung and Bronchus,54.4,50.2,58.8,629,1275674
1999,Minnesota,Lung and Bronchus,57.2,55.1,59.5,2647,4873481
1999,California,Lung and Bronchus,61,60.1,61.9,17481,33499204
1999,Connecticut,Lung and Bronchus,68.5,65.8,71.2,2491,3386401
1999,Iowa,Lung and Bronchus,67.6,64.8,70.5,2204,2917634
1999,Kansas,Lung and Bronchus,66.6,63.6,69.8,1802,2678338
1999,Montana,Lung and Bronchus,63.4,58.5,68.7,601,897507
1999,Nebraska,Lung and Bronchus,61.5,57.9,65.3,1086,1704764
1999,New Jersey,Lung and Bronchus,68.6,66.9,70.4,5966,8359592
1999,New York,Lung and Bronchus,66.3,65.1,67.5,12675,18882725
1999,Virginia,Lung and Bronchus,63,61.1,65,4112,7000174
1999,Wisconsin,Lung and Bronchus,66.4,64.3,68.6,3598,5332666
1999,Wyoming,Lung and Bronchus,60.5,53.6,68,281,491780
1999,Alabama,Lung and Bronchus,72.8,70.4,75.4,3339,4430141
1999,Alaska,Lung and Bronchus,79.2,69.4,89.8,275,624779
1999,Arkansas,Lung and Bronchus,null,null,null,Data Suppressed,null
1999,Delaware,Lung and Bronchus,82.3,76.1,88.9,654,774990
1999,District of Columbia,Lung and Bronchus,76,68.9,83.7,420,570213
1999,Florida,Lung and Bronchus,77.7,76.5,79,15676,15759421
1999,Georgia,Lung and Bronchus,74.4,72.3,76.5,4942,8045965
1999,Illinois,Lung and Bronchus,74,72.4,75.5,8763,12359020
1999,Indiana,Lung and Bronchus,80,77.7,82.3,4762,6044969
1999,Kentucky,Lung and Bronchus,100.2,97.2,103.4,4050,4018053
1999,Louisiana,Lung and Bronchus,84.3,81.5,87.1,3490,4460811
