County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"US (SEER+NPCR)(1,10)",0,***,13.6,13.6,13.7,47270,falling,-1.6,-2.7,-0.5
"Turner County, South Dakota(6,10)",46125,***,41.9,25.2,65.9,4,stable,-5.5,-43.8,58.8
"Mountrail County, North Dakota(6,10)",38061,***,35.7,20,58.7,3,*,*,*,*
"Bon Homme County, South Dakota(6,10)",46009,***,32.6,17.8,55.6,3,*,*,*,*
"Iron County, Wisconsin(6,10)",55051,***,30.2,15.6,56,3,*,*,*,*
"Washington County, Kentucky(7)",21229,***,29.4,18.1,45.4,4,*,*,*,*
"Ford County, Illinois(6,10)",17053,***,27.8,17.6,42.2,5,stable,18.6,-12.6,60.9
"Scott County, Arkansas(6,10)",5127,***,27.5,15.1,45.8,3,*,*,*,*
"Union County, South Dakota(6,10)",46127,***,27.4,17.5,41.2,5,stable,-16.7,-47.6,32.4
"Page County, Iowa(7)",19145,***,26.6,17.5,39.1,6,*,*,*,*
"Barton County, Missouri(6,10)",29011,***,26.3,16.3,40.8,4,stable,-9.6,-49.7,62.6
"Ashe County, North Carolina(6,10)",37009,***,26,18.7,35.4,10,stable,1.4,-31.6,50.3
"Yell County, Arkansas(6,10)",5149,***,25.8,17.5,36.9,6,stable,-1.7,-43.4,70.8
"Sac County, Iowa(7)",19161,***,25.6,14.8,42.3,4,*,*,*,*
"Montgomery County, Iowa(7)",19137,***,25.4,13.9,43,3,*,*,*,*
"Pulaski County, Indiana(6,10)",18131,***,25.1,15.1,39.5,4,stable,-3.4,-37.9,50
"Montgomery County, New York(6,10)",36057,***,25,19.6,31.5,16,stable,7.3,-15.1,35.6
"Caldwell County, Kentucky(7,8)",21033,***,24.9,14.8,39.7,4,rising,7.4,1.1,14.2
"Union County, Florida(6,10)",12125,***,24.5,15.1,38.1,4,stable,6.1,-4,17.2
"Vinton County, Ohio(6,10)",39163,***,24.3,14.3,38.9,4,stable,30.3,-24.2,123.9
"Davison County, South Dakota(6,10)",46035,***,23.9,15.4,35.4,5,stable,-2.7,-29.9,35.1
"Benton County, Missouri(6,10)",29015,***,23.8,15.2,35.9,7,stable,-12.5,-36.1,19.8
"Noble County, Oklahoma(6,10)",40103,***,23.8,13.3,39.6,3,*,*,*,*
"Harrison County, Texas(6,10)",48203,***,23.8,19,29.4,18,stable,0.3,-32.1,48
"Coahoma County, Mississippi(6,10)",28027,***,23.6,15.8,33.9,6,stable,-2.8,-32.8,40.6
"Morgan County, Kentucky(7)",21175,***,23.3,13.1,38.4,3,*,*,*,*
"Rusk County, Wisconsin(6,10)",55107,***,23.1,13.8,36.7,4,stable,-9.4,-41.7,40.7
"Carroll County, Iowa(7,8)",19027,***,23.1,15.3,33.7,6,stable,1,-1.5,3.6
"Lincoln County, Kentucky(7,8)",21137,***,23.1,15.8,32.8,7,stable,3.7,-1.6,9.2
"Iron County, Utah(7)",49021,***,23.1,16.9,30.7,10,*,*,*,*
"Union County, Kentucky(7,8)",21225,***,23.1,13.5,36.9,4,stable,3,-2,8.2
