County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"US (SEER+NPCR)(1,10)",0,***,60.2,60.1,60.3,217545,falling,-2.1,-2.6,-1.7
"Union County, Florida(6,10)",12125,***,215.1,183.2,251.1,38,stable,-2.5,-24,25
"Owsley County, Kentucky(7,8)",21189,***,179.7,134.8,236.3,11,rising,4.3,0.9,7.7
"McCreary County, Kentucky(7,8)",21147,***,154.1,130.5,180.9,32,stable,-0.7,-3,1.7
"North Slope Borough, Alaska(6,10)",2185,***,150.8,97,220.1,7,stable,-0.2,-36.8,57.8
"Powell County, Kentucky(7,8)",21197,***,140.9,115.2,171,22,stable,0.4,-3.3,4.3
"Leslie County, Kentucky(7,8)",21131,***,136.2,110.3,166.9,20,stable,0.7,-2.4,3.8
"Breathitt County, Kentucky(7,8)",21025,***,133.7,109.8,161.5,23,stable,1.3,-2.8,5.6
"Floyd County, Kentucky(7,8)",21071,***,131,116.9,146.5,66,stable,-1.1,-2.8,0.6
"Bracken County, Kentucky(7,8)",21023,***,130.6,101.6,165.8,14,stable,0.6,-2.5,3.8
"Gallatin County, Kentucky(7,8)",21077,***,130.4,97.3,171.2,12,stable,-0.1,-4.5,4.4
"Clay County, Kentucky(7,8)",21051,***,129.4,109.6,151.9,32,stable,1.4,-0.8,3.6
"Whitley County, Kentucky(7,8)",21235,***,128.8,113.6,145.6,54,stable,1.1,-0.5,2.8
"Harlan County, Kentucky(7,8)",21095,***,127.5,111.5,145.4,48,stable,-1.8,-4.2,0.7
"Lewis County, Kentucky(7,8)",21135,***,127.5,104.6,154.2,23,stable,1.3,-0.4,3.1
"Perry County, Kentucky(7,8)",21193,***,125.9,109.5,144.3,44,stable,-1.3,-3.9,1.4
"Martin County, Kentucky(7,8)",21159,***,125.9,100.9,155.4,18,stable,0.1,-2.5,2.7
"Carroll County, Kentucky(7,8)",21041,***,125.4,99.3,156.5,17,stable,-0.7,-2.8,1.4
"Menifee County, Kentucky(7,8)",21165,***,124.2,92.3,164.7,11,stable,1.8,-2.5,6.4
"Pulaski County, Illinois(6,10)",17153,***,124.1,92.5,164.5,11,stable,1.6,-32.5,52.7
"Woodruff County, Arkansas(6,10)",5147,***,123.3,93.1,161.1,12,stable,-8.4,-26.6,14.2
"Lee County, Kentucky(7,8)",21129,***,123,91.4,162.6,11,stable,-0.5,-3.5,2.6
"Knott County, Kentucky(7,8)",21119,***,123,102.1,147.2,26,stable,4.2,-0.7,9.4
"Estill County, Kentucky(7,8)",21065,***,123,101.4,148.2,24,stable,1.7,-0.6,4
"Hart County, Kentucky(7,8)",21099,***,122.8,103.8,144.6,30,stable,1.3,-0.4,3
"Poinsett County, Arkansas(6,10)",5111,***,121.8,105.3,140.4,40,stable,6.4,-11.5,27.9
"Madison County, Missouri(6,10)",29123,***,118.9,96.9,145,21,stable,7.1,-1.2,16
"Knox County, Kentucky(7,8)",21121,***,118.8,104.1,135.2,49,stable,-0.4,-2.1,1.3
"Casey County, Kentucky(7,8)",21045,***,118.7,98.6,141.9,26,stable,1.5,-1.5,4.6
"Metcalfe County, Kentucky(7,8)",21169,***,118.4,93.7,148.3,16,stable,0,-2.4,2.4
"Bath County, Kentucky(7,8)",21011,***,118.2,95.1,145.7,19,stable,1.8,-0.8,4.5
"Wolfe County, Kentucky(7,8)",21237,***,117.8,89.7,153.1,12,falling,-3.3,-6.3,-0.2
"Vinton County, Ohio(6,10)",39163,***,117.7,95.1,144.4,20,stable,-4.6,-28.2,26.8
"Grayson County, Kentucky(7,8)",21085,***,116.7,100.8,134.6,40,stable,1.7,-0.8,4.3
"Pike County, Kentucky(7,8)",21195,***,116.3,105.8,127.7,95,stable,0.2,-1.1,1.6
"Clinton County, Kentucky(7,8)",21053,***,115.3,91.3,144.3,16,stable,2.3,-1.5,6.2
"Cumberland County, Kentucky(7,8)",21057,***,114.9,87.4,149.7,12,stable,3.4,0,6.9
"Mingo County, West Virginia(6,10)",54059,***,114.7,98.3,133.2,37,stable,5.3,-16.5,32.8
"Logan County, West Virginia(6,10)",54045,***,114.6,101.3,129.4,57,stable,-1.8,-17.1,16.4
"Letcher County, Kentucky(7,8)",21133,***,114.1,97.7,132.8,36,stable,-1,-2.7,0.7
"Rockcastle County, Kentucky(7,8)",21203,***,113.8,94.1,136.6,25,stable,0.6,-0.9,2.1
"Franklin County, Illinois(6,10)",17055,***,113.8,101.6,127.2,65,stable,1.9,-8,12.8
"Claiborne County, Tennessee(6,10)",47025,***,113.7,99.9,129.2,51,stable,3.4,-13.9,24.2
"Ohio County, Kentucky(7,8)",21183,***,113.7,97.5,132.1,36,stable,0.7,-0.9,2.3
"Monroe County, Kentucky(7,8)",21171,***,113,89.6,141.1,17,stable,2.9,-1.4,7.3
"Dunklin County, Missouri(6,10)",29069,***,112.9,98.8,128.7,47,stable,1,-9.5,12.8
"Nicholas County, Kentucky(7,8)",21181,***,112.7,84.2,148.6,11,stable,2.3,-1.9,6.8
"Barren County, Kentucky(7,8)",21009,***,112.6,100.4,126,63,stable,0.9,-0.3,2
"Mason County, Kentucky(7,8)",21161,***,112.2,93.1,134.4,25,stable,-13.1,-29.4,6.9
"Campbell County, Tennessee(6,10)",47013,***,112.1,100,125.4,65,stable,3.6,-13.5,24.1
"Bell County, Kentucky(7,8)",21013,***,112.1,97,128.9,41,stable,-0.6,-2.7,1.7
"Crawford County, Georgia(7,8)",13079,***,111.3,88.9,138.1,18,stable,1.8,-1.3,5
"Ripley County, Missouri(6,10)",29181,***,110.9,91.5,133.9,23,stable,-5.2,-16.9,8
"St. Francois County, Missouri(6,10)",29187,***,110.2,100.1,121.2,88,rising,5.5,2.6,8.6
"Boone County, West Virginia(6,10)",54005,***,110.2,94,128.6,35,stable,5.3,-5.6,17.6
"Trousdale County, Tennessee(6,10)",47169,***,109.7,81.4,145.3,10,stable,4.9,-25.6,48.1
"Hardin County, Illinois(6,10)",17069,***,109.7,77,154.7,8,stable,21.3,-18.1,79.6
"New Madrid County, Missouri(6,10)",29143,***,109.3,91.4,130.1,27,falling,-5.1,-9.3,-0.8
"Lawrence County, Kentucky(7,8)",21127,***,109.3,89.3,132.6,22,stable,-0.9,-3,1.1
"Carter County, Missouri(6,10)",29035,***,108.5,78.2,147.6,9,stable,-8.7,-44.8,50.9
"Robertson County, Kentucky(7,8)",21201,***,108.4,62.5,179.5,4,stable,-0.3,-6,5.7
