2015 Geography Name,"2010 Census 
Percent Rural"
"San Francisco County, California",0.0
"Denver County, Colorado",0.0
"District of Columbia, District of Columbia",0.0
"Baltimore city, Maryland",0.0
"Hudson County, New Jersey",0.0
"Union County, New Jersey",0.0
"New York County, New York",0.0
"Queens County, New York",0.0
"Richmond County, New York",0.0
"Philadelphia County, Pennsylvania",0.0
"Arlington County, Virginia",0.0
"Alexandria city, Virginia",0.0
"Charlottesville city, Virginia",0.0
"Colonial Heights city, Virginia",0.0
"Covington city, Virginia",0.0
"Fairfax city, Virginia",0.0
"Falls Church city, Virginia",0.0
"Harrisonburg city, Virginia",0.0
"Hopewell city, Virginia",0.0
"Lexington city, Virginia",0.0
"Manassas city, Virginia",0.0
"Manassas Park city, Virginia",0.0
"Martinsville city, Virginia",0.0
"Norfolk city, Virginia",0.0
"Portsmouth city, Virginia",0.0
"Richmond city, Virginia",0.0
"Salem city, Virginia",0.0
"Williamsburg city, Virginia",0.0
"Winchester city, Virginia",0.0
"St. Louis city, Missouri",0.0
"Kings County, New York",0.0
"Bronx County, New York",0.0
"Roanoke city, Virginia",0.0
"Essex County, New Jersey",0.0
"Broward County, Florida",0.0
"Newport News city, Virginia",0.0
"Bristol city, Virginia",0.0
"Cook County, Illinois",0.0
"DuPage County, Illinois",0.0
"Suffolk County, Massachusetts",0.1
"Bergen County, New Jersey",0.1
"Orange County, California",0.1
"Ramsey County, Minnesota",0.2
"Milwaukee County, Wisconsin",0.2
"Nassau County, New York",0.2
"Cobb County, Georgia",0.2
"Hampton city, Virginia",0.2
"DeKalb County, Georgia",0.3
"Pinellas County, Florida",0.3
"Alameda County, California",0.4
"Miami-Dade County, Florida",0.4
"Delaware County, Pennsylvania",0.5
"Gwinnett County, Georgia",0.5
"Cuyahoga County, Ohio",0.6
"Broomfield County, Colorado",0.6
"Orleans Parish, Louisiana",0.6
"Marion County, Indiana",0.6
"Los Angeles County, California",0.6
"Middlesex County, New Jersey",0.7
"Dallas County, Texas",0.7
"Wayne County, Michigan",0.7
"Rockland County, New York",0.7
"Contra Costa County, California",0.8
"Honolulu County, Hawaii",0.9
"Clayton County, Georgia",0.9
"Salt Lake County, Utah",0.9
"Davis County, Utah",0.9
"Palm Beach County, Florida",1.0
"Mecklenburg County, North Carolina",1.1
"Fulton County, Georgia",1.1
"Santa Clara County, California",1.1
"St. Louis County, Missouri",1.1
"Jefferson Parish, Louisiana",1.1
"Bristol County, Rhode Island",1.1
"Fredericksburg city, Virginia",1.2
"Harris County, Texas",1.2
"Norfolk County, Massachusetts",1.2
"Lake County, Illinois",1.3
"Tarrant County, Texas",1.3
"Clark County, Nevada",1.3
"Multnomah County, Oregon",1.3
"Franklin County, Ohio",1.4
"Jefferson County, Kentucky",1.4
"Fairfax County, Virginia",1.4
"Virginia Beach city, Virginia",1.5
"Arapahoe County, Colorado",1.6
"Camden County, New Jersey",1.6
"San Mateo County, California",1.9
"Prince George's County, Maryland",2.0
"Orange County, Florida",2.0
"Sacramento County, California",2.1
"Petersburg city, Virginia",2.1
"Douglas County, Nebraska",2.2
"El Paso County, Texas",2.2
"New Hanover County, North Carolina",2.2
"Hennepin County, Minnesota",2.2
"Hamilton County, Ohio",2.2
