County, FIPS,"Age-Adjusted Incidence Rate(†) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (‡) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"US (SEER+NPCR)(1,10)",0,21.3,21.2,21.3,74467,rising,2.1,1.1,3
"Beaver County, Utah(7)",49001,79.6,50.9,118.5,5,*,*,*,*
"Summit County, Utah(7,8)",49043,76.1,63,91,29,rising,7.5,5.2,9.8
"Towns County, Georgia(7,8)",13281,62.1,43.8,86.3,11,rising,7,3.2,10.9
"Pickens County, Georgia(7,8)",13227,61.6,50.8,74.3,25,rising,7.8,3.3,12.5
"Lumpkin County, Georgia(7,8)",13187,56.8,45.2,70.6,18,rising,4.9,2.1,7.8
"Forsyth County, Georgia(7,8)",13117,55.2,50.5,60.4,105,rising,2.8,1.8,3.8
"Blaine County, Idaho(6,10)",16013,54.5,41.5,70.4,13,stable,-12,-37.1,23.3
"Nantucket County, Massachusetts(6,10)",25019,54,36.4,77.5,6,stable,-36.5,-61.3,4.2
"Cherokee County, Georgia(7,8)",13057,51.6,47.3,56.1,117,rising,4.4,2.7,6.1
"Grand Isle County, Vermont(6,10)",50013,49.7,29.7,78.8,5,stable,-1.2,-27.2,34.1
"Marin County, California(7,8)",6041,49.6,46.2,53.1,177,stable,2.1,-0.1,4.4
"White County, Georgia(7)",13311,49.6,39.3,61.9,18,*,*,*,*
"Dukes County, Massachusetts(6,10)",25007,48.8,36.2,64.8,11,stable,2.7,-12,20
"Jefferson County, Montana(6,10)",30043,48.5,32.5,70.2,7,stable,18.4,-2,43
"Ouray County, Colorado(6,10)",8091,47.4,23.8,87.3,3,*,*,*,*
"Morgan County, Utah(7)",49029,46.7,28.4,72.2,4,*,*,*,*
"Iron County, Utah(7,8)",49021,46.5,37.2,57.3,18,rising,3.8,1.6,6.1
"Teton County, Wyoming(6,10)",56039,45.9,33.7,61.1,10,stable,33,-24.6,134.8
"Wasatch County, Utah(7)",49051,45.7,33.9,60.1,11,*,*,*,*
"Dawson County, Georgia(7,8)",13085,45.3,33.9,59.4,12,stable,5.6,-0.7,12.2
"Cape May County, New Jersey(7,8)",34009,45,40,50.6,68,rising,3.9,2.8,5
"Poquoson City, Virginia(6,10)",51735,44.9,30.3,64.7,6,stable,-18.4,-48.8,30.2
"Tooele County, Utah(7,8)",49045,44.8,36.3,54.7,20,rising,4.2,2.3,6.1
"Emmet County, Iowa(7)",19063,44.5,27.7,67.7,5,*,*,*,*
"San Luis Obispo County, California(7,8)",6079,44.2,41,47.7,151,stable,-0.1,-3.6,3.5
"Taylor County, Kentucky(7,8)",21217,44,34,56.2,14,rising,7.9,3.1,12.8
"Dubuque County, Iowa(7,8)",19061,44,38.2,50.3,46,rising,9.6,6.6,12.8
"Hall County, Georgia(7,8)",13139,43.8,39.7,48.3,84,rising,3.4,1.7,5
"Grant County, South Dakota(6,10)",46051,43.4,24.1,71.9,3,*,*,*,*
"Worcester County, Maryland(6,10)",24047,43.2,36.3,51.2,33,stable,9.7,-0.7,21.1
"Davis County, Utah(7,8)",49011,42.9,39.4,46.7,115,rising,5.5,4.2,6.7
"Jefferson County, Washington(7,8)",53031,42.9,34.2,53.6,23,rising,3,1.6,4.4
"Hancock County, Iowa(7)",19081,42.7,28.3,62.2,6,*,*,*,*
"Mitchell County, Iowa(7)",19131,42.5,26.5,64.5,5,*,*,*,*
"Moore County, North Carolina(6,10)",37125,42.4,37.5,47.8,61,stable,1.8,-18.5,27.1
"Deschutes County, Oregon(6,10)",41017,42.4,38.3,46.8,86,stable,-1.8,-9.8,6.9
"Queen Annes County, Maryland(6,10)",24035,41.8,34.7,50.1,26,stable,12.7,-4.9,33.6
"Banks County, Georgia(7,8)",13011,41.7,29.8,56.9,9,rising,5.4,2,8.9
"Lee County, Georgia(7,8)",13177,41.7,30.8,55,11,rising,8,2.8,13.5
"Sheridan County, Wyoming(6,10)",56033,41.7,32.8,52.4,16,stable,-6.5,-25.2,16.9
"Windsor County, Vermont(6,10)",50027,41.5,35.1,48.9,33,stable,1.3,-26.2,39.1
"Duchesne County, Utah(7)",49013,41.4,28.6,57.7,7,*,*,*,*
"Los Alamos County, New Mexico(7,8)",35028,41.3,29.8,56,9,stable,1.3,-0.8,3.5
"Dickinson County, Iowa(7)",19059,41.2,29,57,10,*,*,*,*
"Salt Lake County, Utah(7,8)",49035,41,39.1,42.9,383,rising,5.2,4.3,6.2
"Piatt County, Illinois(6,10)",17147,40.9,28.5,57,8,stable,1.3,-17.6,24.5
"Lamoille County, Vermont(6,10)",50015,40.9,31,53,12,stable,9.3,-5.4,26.3
"Chaffee County, Colorado(6,10)",8015,40.9,30.7,54,12,stable,-3.1,-30.3,34.7
"Door County, Wisconsin(6,10)",55029,40.8,32,51.7,18,stable,-1.4,-36.2,52.4
"Grant County, Oregon(6,10)",41023,40.7,22.1,68.9,4,stable,-14.9,-28,0.5
"Sonoma County, California(7,8)",6097,40.5,38.2,42.9,247,rising,5.2,3.8,6.6
"Ford County, Illinois(6,10)",17053,40.4,27.3,57.7,7,stable,18,-10.5,55.5
"Washington County, Utah(7,8)",49053,40.1,35.7,44.8,69,rising,8.2,2.5,14.1
"Fayette County, Georgia(7,8)",13113,40,35,45.4,53,rising,2.7,0.2,5.4
"Roanoke County, Virginia(6,10)",51161,39.4,34.3,45,47,stable,7.2,-10.3,28.1
"Howard County, Iowa(7)",19089,39.3,24.3,60.4,5,*,*,*,*
"Oconee County, Georgia(7,8)",13219,39.2,30.4,49.8,14,rising,6.9,3.3,10.6
"Hunterdon County, New Jersey(7,8)",34019,39.1,34.6,44.1,61,rising,5,3.1,6.9
"Jasper County, Georgia(7)",13159,39.1,26,56.6,6,*,*,*,*
"Sussex County, Delaware(6,10)",10005,38.9,35.7,42.5,121,stable,3.6,-7.4,15.8
"Rockbridge County, Virginia(6,10)",51163,38.8,28.7,51.6,12,stable,6.3,-29.2,59.7
"El Dorado County, California(7,8)",6017,38.8,35.1,42.8,91,rising,2.9,1,4.8
"Santa Cruz County, California(7,8)",6087,38.8,35.5,42.3,111,rising,4.9,2.8,7.1
"Fulton County, Pennsylvania(6,10)",42057,38.8,27.1,54.2,8,stable,19.3,-29.1,100.7
"Kitsap County, Washington(7,8)",53035,38.7,35.6,42.1,119,rising,3.9,2.9,4.8
"Sarasota County, Florida(6,10)",12115,38.7,36.3,41.1,291,stable,2.8,-8.9,16
"Union County, Georgia(7,8)",13291,38.7,29.3,50.6,14,stable,-0.5,-5,4.3
"Greenville County, South Carolina(6,10)",45045,38.6,36.2,41.1,201,stable,3.7,-3.6,11.6
"Shasta County, California(7,8)",6089,38.6,35,42.5,92,stable,-6.6,-19.7,8.7
"Indian River County, Florida(6,10)",12061,38.5,34.6,42.8,96,stable,2.2,-9.1,14.8
"Tuolumne County, California(7,8)",6109,38.4,32.2,45.6,32,rising,4,1.1,7
"James City County, Virginia(6,10)",51095,38.2,33,44.1,42,stable,9,-3.5,23.2
"Cache County, Utah(7,8)",49005,38.2,32.4,44.7,32,rising,4.9,2.9,7
"Van Buren County, Iowa(7)",19177,38.1,21.4,63.2,3,*,*,*,*
"Placer County, California(7,8)",6061,38,35.4,40.7,172,rising,2.4,0.8,4.1
"St. Johns County, Florida(6,10)",12109,38,34.7,41.6,102,rising,7.6,1,14.7
"Chittenden County, Vermont(6,10)",50007,37.9,33.8,42.4,64,stable,6.8,-8.9,25.4
"Marion County, Missouri(6,10)",29127,37.8,28.6,49.1,12,stable,-0.9,-13.1,13
"Habersham County, Georgia(7,8)",13137,37.8,30.6,46.3,20,rising,4.2,1.8,6.7
"Klamath County, Oregon(6,10)",41035,37.6,31.7,44.4,32,rising,28.1,16.3,41.2
"Union County, Florida(6,10)",12125,37.4,23.9,55.5,6,falling,-24.3,-38.4,-7.1
"Franklin County, Kentucky(7,8)",21073,37.2,30.4,45.2,22,rising,5.2,1.7,8.7
"Plymouth County, Iowa(7)",19149,37.1,27.7,48.8,11,*,*,*,*
"San Juan County, Washington(7,8)",53055,37,25.6,52.6,10,stable,0.9,-2,3.9
"Hamilton County, Illinois(6,10)",17065,36.9,22.5,58.1,4,stable,-3.8,-38.8,51
"Salem County, New Jersey(7,8)",34033,36.8,30.8,43.8,28,rising,5.3,3.6,7
"Oldham County, Kentucky(7,8)",21185,36.8,30.1,44.4,24,rising,3.4,0.3,6.5
"Island County, Washington(7,8)",53029,36.7,31.7,42.3,43,stable,-2.4,-5.6,0.9
"Jackson County, Iowa(7)",19097,36.6,26.2,50.1,9,*,*,*,*
"Augusta County, Virginia(6,10)",51015,36.5,31.2,42.6,36,stable,11.5,-8.1,35.3
"Winneshiek County, Iowa(7)",19191,36.5,26.2,49.8,9,*,*,*,*
"Alamance County, North Carolina(6,10)",37001,36.4,32.6,40.6,68,stable,-3,-18.9,16
"Yates County, New York(6,10)",36123,36.3,26.3,49,10,stable,-3.7,-31,34.4
"De Witt County, Illinois(6,10)",17039,36.3,24.8,51.4,7,stable,21,-28.8,105.6
"Searcy County, Arkansas(6,10)",5129,36.2,19.1,62.2,3,*,*,*,*
"Henry County, Kentucky(7,8)",21103,36.2,24.7,51.4,7,rising,6.1,1.4,11
"Cobb County, Georgia(7,8)",13067,36.2,34.1,38.3,249,rising,2.9,2.4,3.5
"Maui County, Hawaii(7,8)",15009,36.2,32.3,40.4,68,rising,2.7,0.3,5.3
"Belknap County, New Hampshire(6,10)",33001,36.2,30.2,43.1,29,stable,3.3,-16.3,27.5
"Montour County, Pennsylvania(6,10)",42093,36.1,25.7,49.6,9,stable,20.4,-4.8,52.3
"Pickens County, South Carolina(6,10)",45077,36.1,31.5,41.1,48,stable,1.6,-21.6,31.8
"Grafton County, New Hampshire(6,10)",33009,36,31,41.7,41,stable,6.4,-11.9,28.5
"Calaveras County, California(7,8)",6009,36,29.2,44.1,24,rising,7.5,2.9,12.2
"Clackamas County, Oregon(6,10)",41005,35.9,33.4,38.5,166,stable,5.7,-10.2,24.5
"Iowa County, Iowa(7)",19095,35.9,23.5,52.3,6,*,*,*,*
"Benzie County, Michigan(6,10)",26019,35.8 #  ,25.1,50,9,stable,29,-30.8,140.4
"Nelson County, Kentucky(7,8)",21179,35.8,28.6,44.3,18,stable,1.4,-1.2,4
"Sublette County, Wyoming(6,10)",56035,35.8,20,58.7,3,*,*,*,*
"Hughes County, South Dakota(6,10)",46065,35.6,24.4,50.3,7,stable,3.2,-24.8,41.8
"Washington County, Rhode Island(6,10)",44009,35.5,31.2,40.2,57,stable,9.4,-4.9,25.9
"Cass County, North Dakota(6,10)",38017,35.5,31.2,40.1,53,stable,3.2,-13.8,23.5
"Haywood County, North Carolina(6,10)",37087,35.4,29.8,41.9,31,falling,-6.3,-11.4,-0.8
"Walton County, Georgia(7,8)",13297,35.4,30,41.4,33,stable,-0.8,-4.6,3.1
"Weber County, Utah(7,8)",49057,35.3,31.9,39.1,77,rising,4.7,3.7,5.6
"Washington County, Kentucky(7)",21229,35.2,21.9,53.8,5,*,*,*,*
"Rabun County, Georgia(7)",13241,35,24.1,49.4,8,*,*,*,*
"Harford County, Maryland(6,10)",24025,34.8,31.7,38.1,97,stable,7.8,-1,17.5
"Brown County, Indiana(6,10)",18013,34.6,23.4,49.9,7,stable,26.7,-23.4,109.6
"Merrimack County, New Hampshire(6,10)",33013,34.6,30.7,38.9,62,stable,1,-12.7,16.8
"Gallatin County, Montana(6,10)",30031,34.6,29.2,40.7,31,stable,9.3,-20.1,49.6
"Jessamine County, Kentucky(7,8)",21113,34.5,27.6,42.7,18,stable,2.2,-1.6,6.2
"Amador County, California(7,8)",6005,34.5,28,42.5,22,rising,3.8,1.1,6.6
"Flathead County, Montana(6,10)",30029,34.5,29.7,40,40,stable,0.3,-20,25.8
"Trimble County, Kentucky(7,8)",21223,34.5,20.2,55.7,4,stable,3.8,-1.5,9.4
